model,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
drcaps,0,100,0.0850,0.2559,0.8428,0.5403,0.9742,0.8183,0.9973,0.9632
drcaps,1,21,0.1010,0.2013,0.8068,0.6268,0.9621,0.8717,0.9951,0.9812
drcaps,2,89,0.0850,0.2013,0.8401,0.6206,0.9762,0.9096,0.9980,0.9816
drcaps,3,39,0.0917,0.2185,0.8281,0.6049,0.9686,0.7964,0.9970,0.9032
drcaps,4,62,0.0979,0.1875,0.8199,0.6719,0.9614,0.8642,0.9955,0.9510
drcaps,5,38,0.1083,0.1290,0.7955,0.7556,0.9506,0.9534,0.9939,0.9955
drcaps,6,83,0.0989,0.2268,0.8145,0.6044,0.9598,0.8085,0.9961,0.9675
drcaps,7,76,0.0975,0.1909,0.8152,0.6665,0.9624,0.8648,0.9966,0.9891
drcaps,8,70,0.0936,0.2614,0.8241,0.5720,0.9680,0.7927,0.9972,0.9351
drcaps,9,73,0.0890,0.2174,0.8340,0.6093,0.9716,0.8439,0.9970,0.9671
resnet,0,21,0.4474,1.0467,0.8829,0.5469,0.9853,0.8130,0.9984,0.9615
resnet,1,100,0.4036,1.0426,0.9243,0.6021,0.9920,0.8441,0.9992,0.9468
resnet,2,44,0.4320,0.8538,0.8960,0.6435,0.9887,0.8991,0.9991,0.9769
resnet,3,99,0.4043,1.0258,0.9250,0.6000,0.9916,0.7949,0.9993,0.9035
resnet,4,33,0.4424,0.8465,0.8939,0.6686,0.9835,0.8646,0.9985,0.9548
resnet,5,12,0.4985,0.6401,0.8490,0.7566,0.9702,0.9472,0.9970,0.9919
resnet,6,100,0.4347,1.0171,0.9018,0.6093,0.9853,0.8233,0.9986,0.9414
resnet,7,31,0.4644,0.7859,0.8725,0.6996,0.9804,0.8785,0.9983,0.9752
resnet,8,82,0.4245,1.1594,0.9082,0.5613,0.9884,0.7979,0.9990,0.9114
resnet,9,96,0.4068,1.0506,0.9215,0.6036,0.9920,0.8310,0.9992,0.9257